,Datum,UMS_BRUTTO
230,2021-08-19,0.0
231,2021-08-20,8.0
232,2021-08-21,236.6
233,2021-08-22,155.29999999999998
234,2021-08-23,480.4
235,2021-08-24,85.5
236,2021-08-25,184.8
237,2021-08-26,0.0
238,2021-08-27,0.0
239,2021-08-28,80.6
240,2021-08-29,0.0
241,2021-08-30,0.0
242,2021-08-31,100.5
243,2021-09-01,0.0
244,2021-09-02,59.599999999999994
245,2021-09-03,172.9
246,2021-09-04,195.8
247,2021-09-05,160.0
248,2021-09-06,0.0
249,2021-09-07,141.2
250,2021-09-08,0.0
251,2021-09-09,242.7
252,2021-09-10,0.0
253,2021-09-11,72.5
254,2021-09-12,119.4
255,2021-09-13,341.0
256,2021-09-14,50.7
257,2021-09-15,62.8
258,2021-09-16,18.9
259,2021-09-17,278.4
260,2021-09-18,219.5
261,2021-09-19,0.0
262,2021-09-20,83.4
263,2021-09-21,0.0
264,2021-09-22,151.0
265,2021-09-23,15.9
266,2021-09-24,320.29999999999995
267,2021-09-25,218.5
268,2021-09-26,39.8
269,2021-09-27,151.2
270,2021-09-28,447.3
271,2021-09-29,26.9
272,2021-09-30,273.7
273,2021-10-01,57.699999999999996
274,2021-10-02,539.0
275,2021-10-03,19.8
276,2021-10-04,78.4
277,2021-10-05,519.9
278,2021-10-06,153.9
279,2021-10-07,205.79999999999998
280,2021-10-08,81.5
281,2021-10-09,0.0
282,2021-10-10,0.0
283,2021-10-11,215.5
284,2021-10-12,450.4
285,2021-10-13,0.0
286,2021-10-14,273.3
287,2021-10-15,45.8
288,2021-10-16,343.0
289,2021-10-17,151.0
290,2021-10-18,156.2
291,2021-10-19,122.10000000000001
292,2021-10-20,270.5
293,2021-10-21,34.8
294,2021-10-22,122.1
295,2021-10-23,222.60000000000002
296,2021-10-24,212.9
297,2021-10-25,14.9
298,2021-10-26,273.2
299,2021-10-27,0.0
300,2021-10-28,463.09999999999997
301,2021-10-29,81.5
302,2021-10-30,340.7
303,2021-10-31,359.8
304,2021-11-01,265.4
305,2021-11-02,26.9
306,2021-11-03,52.699999999999996
307,2021-11-04,0.0
308,2021-11-05,90.4
309,2021-11-06,69.5
310,2021-11-07,66.69999999999999
311,2021-11-08,26.8
312,2021-11-09,251.6
313,2021-11-10,119.00000000000001
314,2021-11-11,0.0
315,2021-11-12,0.0
316,2021-11-13,228.6
317,2021-11-14,124.19999999999999
318,2021-11-15,217.7
319,2021-11-16,99.5
320,2021-11-17,136.0
321,2021-11-18,0.0
322,2021-11-19,70.6
323,2021-11-20,0.0
324,2021-11-21,275.6
325,2021-11-22,137.0
326,2021-11-23,55.699999999999996
327,2021-11-24,665.8
328,2021-11-25,70.6
329,2021-11-26,235.39999999999998
330,2021-11-27,425.5
331,2021-11-28,127.19999999999999
332,2021-11-29,290.1
333,2021-11-30,109.20000000000002
334,2021-12-01,0.0
335,2021-12-02,64.6
336,2021-12-03,221.7
337,2021-12-04,235.3
338,2021-12-05,42.699999999999996
339,2021-12-06,292.20000000000005
340,2021-12-07,199.7
341,2021-12-08,170.1
342,2021-12-09,0.0
343,2021-12-10,34.8
344,2021-12-11,387.8
345,2021-12-12,49.7
346,2021-12-13,101.5
347,2021-12-14,18.9
348,2021-12-15,100.5
